"termo","blup","blup_sd","blup_025","blup_975","trait","individuo"
"traitcomp_mm.animal.87",1.38686776145275,5.29900743245058,-8.62240176674441,13.3347781755944,"comp_mm","87"
"traitcomp_mm.animal.88",0.0334304787660285,4.86708215208116,-9.67519560414896,10.0894977422783,"comp_mm","88"
"traitcomp_mm.animal.89",-1.68665990722451,5.15619174798715,-12.8147827447829,7.80953906252682,"comp_mm","89"
"traitcomp_mm.animal.9",0.176273349627934,4.86200384377352,-9.17943181036621,10.2088864349645,"comp_mm","9"
"traitcomp_mm.animal.90",-0.826401414661506,4.96231909623365,-11.2169171146637,8.72305352905806,"comp_mm","90"
"traitcomp_mm.animal.91",-1.45346233462852,5.19483197780948,-12.2940701315436,8.30055549154086,"comp_mm","91"
"traitcomp_mm.animal.94",-0.147168139640726,4.89783853275418,-9.82372766065485,10.0943545964819,"comp_mm","94"
"traitcomp_mm.animal.95",-0.614923845069716,4.86340196293347,-10.4936106775231,8.99108141299989,"comp_mm","95"
"traitcomp_mm.animal.96",0.0788994407447782,4.86008478609058,-9.34871722106917,9.97478886378228,"comp_mm","96"
"traitcomp_mm.animal.97",0.849976549761376,4.8161227068516,-8.10940870113176,10.5996658113222,"comp_mm","97"
"traitcomp_mm.animal.98",-0.199418044907581,4.77563292529083,-10.119475541508,8.9018319786238,"comp_mm","98"
"traitcomp_mm.animal.99",-1.100682539658,5.04093578528903,-11.9863812516395,8.43365323880519,"comp_mm","99"
"traitdiam_mm.animal.10",-1.85666846260212,4.62979197235475,-11.5279462439997,6.877555511134,"diam_mm","10"
"traitdiam_mm.animal.100",-1.68593881773404,4.6855887598752,-11.725715528454,6.78221728537285,"diam_mm","100"
"traitdiam_mm.animal.101",1.54730803353899,4.82801876285693,-6.96186139269837,12.2619805441002,"diam_mm","101"
"traitdiam_mm.animal.103",-6.88705065774466,6.94577996443915,-22.8940002973737,3.38209470779579,"diam_mm","103"
"traitdiam_mm.animal.11",-2.90708240971011,4.87445978527883,-13.9183541340693,5.62381665087087,"diam_mm","11"
"traitdiam_mm.animal.110",0.18423041014964,4.45535764497869,-8.66520826685482,9.31145141891854,"diam_mm","110"
"traitdiam_mm.animal.115",1.60651503282754,5.07761201695243,-7.2249556732543,13.3313273944338,"diam_mm","115"
"traitdiam_mm.animal.118",2.6206105632382,4.81422688985751,-5.93472974689241,13.6478529190845,"diam_mm","118"
"traitdiam_mm.animal.12",-2.36874291636544,4.75953986970304,-12.508868733932,6.51190245187636,"diam_mm","12"
"traitdiam_mm.animal.122",-2.9564484229243,4.64439571395765,-13.0585890237655,5.06802684689153,"diam_mm","122"
"traitdiam_mm.animal.124",-2.41197927540406,4.68535240853196,-12.4453168897222,6.75544608064126,"diam_mm","124"
"traitdiam_mm.animal.128",-2.86154385824313,4.63579744652596,-12.9001802774948,5.47637277925338,"diam_mm","128"
"traitdiam_mm.animal.13",1.64098279922995,5.93011942902196,-7.70308948688569,16.4796043410866,"diam_mm","13"
"traitdiam_mm.animal.130",-0.829193380663111,4.52547478849525,-9.90509506941842,8.58208948896864,"diam_mm","130"
"traitdiam_mm.animal.131",-0.262953136937437,4.42359170158896,-8.64948428917926,8.86811861969848,"diam_mm","131"
"traitdiam_mm.animal.132",-0.782719922136205,4.50769152542258,-9.47636699206883,8.40123453166429,"diam_mm","132"
"traitdiam_mm.animal.133",-1.25618356422728,4.50165154190893,-10.1216060780454,7.897619922625,"diam_mm","133"
"traitdiam_mm.animal.134",-1.01399243711129,4.6213901623445,-10.5841109263558,8.35037763029367,"diam_mm","134"
"traitdiam_mm.animal.135",-1.18837826688493,4.52639212919293,-10.6004496188232,7.75417159693275,"diam_mm","135"
"traitdiam_mm.animal.136",-1.92799052423311,4.4384007611424,-10.9388760069827,6.68343594560134,"diam_mm","136"
"traitdiam_mm.animal.138",-2.7216868914039,4.96411958373533,-13.550728813085,6.17713647581704,"diam_mm","138"
"traitdiam_mm.animal.140",-0.30024472083799,4.55308797266467,-8.87727330243687,9.82407879901753,"diam_mm","140"
"traitdiam_mm.animal.148",0.0203304526807498,4.63130352615569,-8.8825447915641,9.91483057996924,"diam_mm","148"
"traitdiam_mm.animal.149",1.94799242190183,4.44635948439481,-6.2804944758877,11.6288986928701,"diam_mm","149"
"traitdiam_mm.animal.15",-3.05220245482313,5.036220845035,-14.0204531237958,6.0931700971265,"diam_mm","15"
"traitdiam_mm.animal.150",1.31143277712155,4.72261923405205,-7.12268498038405,12.0545354923171,"diam_mm","150"
"traitdiam_mm.animal.152",-2.19851113042464,4.81978944989334,-12.514136411908,6.69002227196691,"diam_mm","152"
"traitdiam_mm.animal.154",2.85494104611178,4.99114733182816,-5.43081032939318,14.3654972627647,"diam_mm","154"
"traitdiam_mm.animal.157",-0.435364724568797,4.51648716927999,-9.43124050396931,8.6983789431472,"diam_mm","157"
"traitdiam_mm.animal.16",-2.97050728533118,4.65785681113129,-12.9179816527528,4.80603155160071,"diam_mm","16"
"traitdiam_mm.animal.161",2.17761585435439,4.64705364996634,-6.20646437234213,11.8347107552178,"diam_mm","161"
"traitdiam_mm.animal.162",-1.33709691457423,4.83367134019112,-12.2010551247793,7.29661503206371,"diam_mm","162"
"traitdiam_mm.animal.166",2.63101116722024,5.25065431188173,-6.59902681785429,14.7686149496401,"diam_mm","166"
"traitdiam_mm.animal.167",2.59647734488713,5.79631469121442,-6.52333383612116,16.3108487207839,"diam_mm","167"
"traitdiam_mm.animal.17",-0.370924431278671,4.63565151894223,-9.04561325672261,9.41183606979555,"diam_mm","17"
"traitdiam_mm.animal.170",3.67131628637687,6.00770816379548,-5.67062394560407,17.6920864548287,"diam_mm","170"
"traitdiam_mm.animal.172",0.9539506948943,4.52186736525554,-7.94825914064901,10.2319013266138,"diam_mm","172"
"traitdiam_mm.animal.175",3.62403220992106,5.16993222180191,-5.03267492984144,15.806541874223,"diam_mm","175"
"traitdiam_mm.animal.177",-1.36747985711769,4.99277211196402,-12.1944574824825,7.16705587160793,"diam_mm","177"
"traitdiam_mm.animal.178",0.477942301135346,4.46965746810844,-8.31892336876323,9.30024570511542,"diam_mm","178"
"traitdiam_mm.animal.18",-1.05579462537418,4.3627586884208,-9.87838637444019,7.66943881381225,"diam_mm","18"
"traitdiam_mm.animal.181",2.12469314028364,5.03717106646956,-6.69082622419478,13.6796602945679,"diam_mm","181"
"traitdiam_mm.animal.185",-1.88930308441569,4.89242638583361,-12.6327133947301,6.73760817064756,"diam_mm","185"
"traitdiam_mm.animal.189",0.341949287201833,4.45041950397637,-8.06749668412553,9.8661243398176,"diam_mm","189"
"traitdiam_mm.animal.192",1.71100184717653,4.71758384700853,-6.78656370903412,12.4478133912169,"diam_mm","192"
"traitdiam_mm.animal.194",-1.67219266722158,4.84173621983308,-12.1738098833318,7.4358224405421,"diam_mm","194"
"traitdiam_mm.animal.2",-0.465859790171247,4.41880510080718,-9.71046211243381,8.34854205135651,"diam_mm","2"
"traitdiam_mm.animal.201",1.59967526889829,4.97060307915385,-7.26166939747532,12.3638822463549,"diam_mm","201"
"traitdiam_mm.animal.204",2.48882989535676,4.77235182609226,-5.61211022028058,13.1074302348427,"diam_mm","204"
"traitdiam_mm.animal.208",-0.432680815255351,4.94899685739805,-11.3918255316301,8.53715582949267,"diam_mm","208"
"traitdiam_mm.animal.209",2.57397214458918,5.17324809962433,-6.3660089151171,14.2650565720541,"diam_mm","209"
"traitdiam_mm.animal.210",-1.71473491731024,5.22137117813011,-13.2502312877001,7.633969907637,"diam_mm","210"
"traitdiam_mm.animal.212",1.68864571300308,4.71173306092429,-6.92338340476041,12.2194076366311,"diam_mm","212"
"traitdiam_mm.animal.22",4.16197944567924,6.2903882339567,-5.29383142985904,18.7390321546369,"diam_mm","22"
"traitdiam_mm.animal.221",-0.641679009962017,4.48132856542848,-9.52499369599422,8.67250024533086,"diam_mm","221"
"traitdiam_mm.animal.222",-0.589543601546046,4.56020986021665,-9.53023918015186,9.01188940301933,"diam_mm","222"
"traitdiam_mm.animal.223",-2.5217175037972,4.69792255463672,-12.4370410153977,6.58861142144577,"diam_mm","223"
"traitdiam_mm.animal.23",0.184968684387129,4.58225993175359,-9.1291118610033,9.3794091714488,"diam_mm","23"
"traitdiam_mm.animal.232",-1.34640962659966,4.46070869132274,-10.7176674716932,7.3603958303292,"diam_mm","232"
"traitdiam_mm.animal.233",-1.55910623275034,4.48307094645115,-11.147792267597,6.80534582780107,"diam_mm","233"
"traitdiam_mm.animal.235",-0.815484201294978,4.64197320674014,-9.80389714686498,8.62293866795232,"diam_mm","235"
"traitdiam_mm.animal.236",-1.89757267144875,4.70774893374881,-11.7288734386977,7.26701575740183,"diam_mm","236"
"traitdiam_mm.animal.237",-1.6421592002712,4.64255541262467,-11.5655458049121,7.61221604893881,"diam_mm","237"
"traitdiam_mm.animal.24",2.53192374981599,5.02907997415342,-6.12498336694055,13.4081184749926,"diam_mm","24"
"traitdiam_mm.animal.240",2.173466816636,5.79521356200952,-6.93278536769902,16.6400147223421,"diam_mm","240"
"traitdiam_mm.animal.29",-1.45880560952594,4.74054708137213,-11.8153687705251,7.41871998038935,"diam_mm","29"
"traitdiam_mm.animal.3",-1.76701195927031,4.62482273120014,-11.8391621942368,6.60034030269707,"diam_mm","3"
"traitdiam_mm.animal.32",2.06851514734178,4.64482246498523,-6.07396462433053,12.0939738404943,"diam_mm","32"
"traitdiam_mm.animal.34",1.21420412367368,4.3618132965648,-6.83033515875732,10.4685549016037,"diam_mm","34"
"traitdiam_mm.animal.4",-1.40846074829308,4.32639501165507,-10.4413302133729,6.90083906008969,"diam_mm","4"
"traitdiam_mm.animal.43",0.907431876553391,4.59623244300666,-7.98270907027581,10.7377498250402,"diam_mm","43"
"traitdiam_mm.animal.51",-1.1474803682451,4.89259933809591,-11.9637030852454,7.69409885901517,"diam_mm","51"
"traitdiam_mm.animal.53",-0.315086918377496,4.63447299654207,-9.69260772973842,8.31240058274929,"diam_mm","53"
"traitdiam_mm.animal.55",3.12722699341673,5.56954246851553,-5.88251538675843,16.5201596481446,"diam_mm","55"
"traitdiam_mm.animal.61",2.08772565154005,4.8825800469801,-6.54069162917669,12.3606152085832,"diam_mm","61"
"traitdiam_mm.animal.62",2.43606067522312,4.97028240430593,-6.11090155926049,13.8191946395043,"diam_mm","62"
"traitdiam_mm.animal.70",-0.622107384984161,4.51068225822716,-9.80136625647194,8.56595477839954,"diam_mm","70"
"traitdiam_mm.animal.76",-0.287104837688397,4.51084341657238,-9.56145639879286,8.44994837331147,"diam_mm","76"
"traitdiam_mm.animal.81",0.432914884644837,4.6714845841361,-8.07263824888524,11.0088522040191,"diam_mm","81"
"traitdiam_mm.animal.82",-0.884532077967747,4.50109363003532,-9.49552866480185,8.6180496614473,"diam_mm","82"
"traitdiam_mm.animal.83",-1.33136493658118,4.51077461555317,-10.4473312614949,7.54183341722178,"diam_mm","83"
"traitdiam_mm.animal.84",-1.24273901151458,4.5550163562551,-10.6470783569717,7.53393594679653,"diam_mm","84"
"traitdiam_mm.animal.86",-0.751403282722112,4.36553368262733,-9.38312297039221,7.54626415403233,"diam_mm","86"
"traitdiam_mm.animal.87",1.12996813880442,4.98652271241178,-7.80304110363685,12.117948979312,"diam_mm","87"
"traitdiam_mm.animal.88",-0.0665034122550905,4.5201691282643,-8.57703701829408,9.46809211648128,"diam_mm","88"
"traitdiam_mm.animal.89",-2.01029234828865,4.80650067586692,-12.5296299650213,6.89408208142085,"diam_mm","89"
"traitdiam_mm.animal.9",-0.69840138763848,4.45256096421915,-9.34426531297463,8.37416633748686,"diam_mm","9"
"traitdiam_mm.animal.90",-1.37907087084486,4.46192187379789,-10.6106439157581,7.27117060866266,"diam_mm","90"
"traitdiam_mm.animal.91",-2.41199310504068,4.75808381461648,-12.1220194097336,6.82305144049304,"diam_mm","91"
"traitdiam_mm.animal.94",-1.04231560247563,4.70525577268467,-10.2117467228146,8.63313094459184,"diam_mm","94"
"traitdiam_mm.animal.95",-0.998447481016707,4.42435405157288,-9.41872951799227,7.72107017348246,"diam_mm","95"
"traitdiam_mm.animal.96",-1.03719961565688,4.4951107917352,-9.99885435854646,8.16042000934506,"diam_mm","96"
"traitdiam_mm.animal.97",-0.107466088300964,4.5264410127096,-8.58599768446727,9.59818813345642,"diam_mm","97"
"traitdiam_mm.animal.98",-1.22871552086175,4.47476543442093,-10.3889706525477,7.43877566201467,"diam_mm","98"
"traitdiam_mm.animal.99",-1.65709349086633,4.6833606332701,-11.1838782280161,7.73386879316912,"diam_mm","99"
