"individuo","bloco","familia","cruzamento","P1","P2","data","estacao","ano","estacao_ano","n_frutos","formato_elipsoide","casca_amarela","polpa_amarela","comp_mm","diam_mm","ind_formato","massa_fruto_g","massa_polpa_g","rend_polpa_pct","esp_casca_mm","esp_casca_inv","sst_brix","aacpd_planta","aacpd_folha","parcela","aacpdm","linha","coluna"
"101","2","3","516 x 355","516","355",2019-06-10,"outono","2019","outono_2019",3,1,1,1,72.31,60.2933333333333,1.19717057796602,87.1466666666667,34.7266666666667,37.7227554090307,7.42666666666667,11.1,13.1333333333333,846.5,816.5,"F3B2",831.5,NA,NA
"101","2","3","516 x 355","516","355",2019-06-21,"inverno","2019","inverno_2019",2,1,1,1,61.495,52.425,1.17172384381045,53.95,17.15,31.8456046635777,7.68,10.8466666666667,12.05,846.5,816.5,"F3B2",831.5,NA,NA
"103","2","3","516 x 355","516","355",2019-06-10,"outono","2019","outono_2019",1,0,1,1,30.99,16.46,1.88274605103281,23.22,10.26,44.1860465116279,7.86,10.6666666666667,11.6,861.5,801.5,"F3B2",831.5,"2","40"
"110","2","3","516 x 355","516","355",2019-06-10,"outono","2019","outono_2019",2,0,1,1,55.515,53.745,1.034414716733,64.775,29.505,45.6282095571307,5.58,12.9466666666667,13.75,959,876.5,"F3B2",917.75,"2","33"
"110","2","3","516 x 355","516","355",2019-06-21,"inverno","2019","inverno_2019",4,0,1,1,58.6425,54.7175,1.07194126240538,68.9625,30.8125,44.4904352696201,6.1125,12.4141666666667,12.425,959,876.5,"F3B2",917.75,"2","33"
"115","2","3","516 x 355","516","355",2019-06-10,"outono","2019","outono_2019",1,0,0,1,77.71,59.1,1.31489001692047,86.53,28.24,32.636079972264,11.49,7.03666666666667,11.6,681.5,711.5,"F3B2",696.5,"2","28"
"118","2","3","516 x 355","516","355",2019-06-10,"outono","2019","outono_2019",1,1,1,1,78.56,63.86,1.23019104290636,50.26,11.07,22.0254675686431,6.49,12.0366666666667,14.2,1004,914,"F3B2",959,"2","25"
"118","2","3","516 x 355","516","355",2019-06-21,"inverno","2019","inverno_2019",1,1,1,1,76.24,64.08,1.18976279650437,48.45,14.63,30.1960784313725,8.83,9.69666666666667,11.8,1004,914,"F3B2",959,"2","25"
"122","3","1","293 x 355","293","355",2019-01-22,"verao","2019","verao_2019",2,0,0,1,69.7,57,1.22048070118809,78.255,36.2,45.9092231410184,6.465,12.0616666666667,19.05,531.5,531.5,"F1B3",531.5,"2","21"
"122","3","1","293 x 355","293","355",2019-06-10,"outono","2019","outono_2019",1,0,0,1,59.44,46.11,1.2890913034049,50.65,21.96,43.3563672260612,6.39,12.1366666666667,11.1,831.5,831.5,"F1B3",831.5,"2","21"
