"individuo","mu_max","t_pico","slope_up","slope_down","t_surv_obs","evento","area_beta","estab","taxa_final","prop_acima","n_aval","familia","mu_max_sc","t_pico_sc","slope_up_sc","area_beta_sc","estab_sc","t_surv_sc","prop_acima_sc","BDSIP"
84,2,182,0.00204081632653061,0.000766314430910708,476,0,95.8556666666667,0.247058823529412,2,0,35,"1",-0.861930692964181,-0.126856621175658,-0.803562693285304,-0.732726250557135,-0.552212546979492,-0.715109849896159,-0.597738453182839,-0.733108406736454
86,2,112,0.00476190476190476,0.0010465724751439,476,0,109.813666666667,0.221848739495798,2,0,35,"1",-0.861930692964181,-0.725901776727376,-0.217696520641054,-0.248675117476562,-0.713526993042752,-0.715109849896159,-0.597738453182839,-0.551387834804142
88,3,98,0.016156462585034,0.00113378684807256,98,1,114.480333333333,0.26890756302521,2,0.0285714285714286,35,"1",0.906513315014053,-0.845710807837719,2.23561807730674,-0.0868392321269885,-0.412406693724668,1.91678928838146,-0.374038271293633,0.911934950970119
89,2,154,0.00274725274725274,0.00177018633540373,476,0,95.8556666666667,0.247058823529412,2,0,35,"1",-0.861930692964181,-0.366474683396345,-0.651462821541125,-0.732726250557135,-0.552212546979492,-0.715109849896159,-0.597738453182839,-0.702688432387618
90,3,252,0.00513784461152882,-0.00140056022408964,252,1,119.133,0.25546218487395,2,0.0285714285714286,35,"1",0.906513315014053,0.47218853437606,-0.136754483630993,0.0745111455665356,-0.498441064958406,0.844534083897984,-0.374038271293633,0.238072599177835
94,3,406,0.00352772922294613,-0.00204081632653063,406,1,130.813666666667,0.440336134453782,3,0.142857142857143,35,"1",0.906513315014053,1.79008787658984,-0.483421695163516,0.479586366596517,0.684531539505497,-0.227721120585489,0.52076245626319,0.271897681073412
95,3,462,0.00260831605369421,5.37307164816435e-17,462,1,121.466333333333,0.299159663865546,3,0.0571428571428571,35,"1",0.906513315014053,2.26932400103121,-0.681376700060033,0.155429088241322,-0.218829358448756,-0.617632104034025,-0.150338089404427,-0.0911791518574877
96,3,462,0.00300120048019208,5.37307164816435e-17,462,1,112.161,0.327731092436975,3,0.0571428571428571,35,"1",0.906513315014053,2.26932400103121,-0.596786397057922,-0.167271667145726,-0.0360063195770621,-0.617632104034025,-0.150338089404427,-0.102236634560137
97,3,462,0.00248826803448652,5.37307164816435e-17,462,1,126.119,0.282352941176471,3,0.0571428571428571,35,"1",0.906513315014053,2.26932400103121,-0.707223737088456,0.316779465934847,-0.326372322490929,-0.617632104034025,-0.150338089404427,-0.0855870765329021
98,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,"1",-0.861930692964181,0.112761441045029,-0.903719961770443,-0.894076628250659,-0.51994965776684,-0.715109849896159,-0.597738453182839,-0.778957358129656
99,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,"1",-0.861930692964181,0.112761441045029,-0.903719961770443,-0.894076628250659,-0.51994965776684,-0.715109849896159,-0.597738453182839,-0.778957358129656
100,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,"1",-0.861930692964181,0.112761441045029,-0.903719961770443,-0.894076628250659,-0.51994965776684,-0.715109849896159,-0.597738453182839,-0.778957358129656
101,3,98,0.0170068027210884,0.000175932441942296,98,1,133.091,0.205042016806723,2,0.0285714285714286,35,"3",0.906513315014053,-0.845710807837719,2.41870125625807,0.558562278647109,-0.821069957084925,1.91678928838146,-0.374038271293633,0.995899236243154
103,3,210,0.00304621848739496,-0.00112781954887218,210,1,137.799666666667,0.420168067226891,2,0.142857142857143,35,"3",0.906513315014053,0.112761441045029,-0.587093758172264,0.721854686964829,0.555479982654889,1.13696732148439,0.52076245626319,0.546744309589178
105,3,210,0.00766806722689076,-0.00150375939849624,210,1,179.799666666667,0.692436974789916,2,0.4,35,NA,0.906513315014053,0.112761441045029,0.408017167422015,2.17837765511099,2.29767600013809,1.13696732148439,2.53406409326604,1.38551029183391
109,3,336,0.00478021978021978,-0.00779220779220779,336,1,128.536333333333,0.635294117647059,2,0.228571428571429,35,NA,0.906513315014053,1.19104272103812,-0.213753190632872,0.400610454545925,1.9320299223947,0.25966760872518,1.19186300193081,0.657013622009398
110,3,168,0.00784929356357928,0.000635234330886505,168,1,177.466333333333,0.692436974789916,3,0.4,35,"3",0.906513315014053,-0.246665652286001,0.447036252166846,2.0974597124362,2.29767600013809,1.42940055907079,2.53406409326604,1.43561716776519
111,2,98,0.00595238095238095,0.00259989053092502,476,0,95.8556666666667,0.247058823529412,2,0,35,NA,-0.861930692964181,-0.845710807837719,0.0386199298908044,-0.732726250557135,-0.552212546979492,-0.715109849896159,-0.597738453182839,-0.564671882101232
112,3,448,0.00355710466004583,-3.00423170965818e-17,448,1,107.522333333333,0.398319327731092,3,0.0857142857142857,35,NA,0.906513315014053,2.14951496992087,-0.477096992636532,-0.328136537183202,0.415674129400064,-0.520154358171891,0.0733620924847785,-0.00064008871550173
