"trait","individuo","blup","blup_z","blup_dir","blup_sd","var_pred","precisao","peso_combinado"
"comp_mm",22,1.40321307913983,1.08685807021904,1.08685807021904,4.12878896282925,17.0468982995806,0.0586616980066456,0.00261865819901666
"comp_mm",221,-1.23500505145688,-0.88606637763307,-0.88606637763307,4.2211708709488,17.8182835217467,0.0561221286427243,0.00250529182261121
"comp_mm",222,-1.38131683449176,-0.995481929899425,-0.995481929899425,4.225894124668,17.8581811529035,0.0559967440938078,0.00249969465634758
"comp_mm",223,-2.71780817469117,-1.99494304679565,-1.99494304679565,4.06420238890864,16.5177410580107,0.0605409660127239,0.002702548722808
"comp_mm",23,1.39526767364861,1.08091630044651,1.08091630044651,4.13181443484502,17.0718905239937,0.0585758207970319,0.0026148246403795
"comp_mm",232,-1.43893955727555,-1.0385736201632,-1.0385736201632,4.25107948465869,18.071676784886,0.0553352083430541,0.00247016370043393
"comp_mm",233,-1.37344770538508,-0.989597201484507,-0.989597201484507,4.19027011504192,17.5583636370134,0.0569529154694107,0.00254237814655449
"comp_mm",235,-1.32922610883045,-0.956527203233093,-0.956527203233093,4.19065466262779,17.561586501404,0.0569424635934829,0.00254191157481308
"comp_mm",236,-1.21943565000437,-0.87442319604477,-0.87442319604477,4.13605892826972,17.1069834581197,0.0584556594941559,0.00260946063981912
"comp_mm",237,-1.37887985682815,-0.993659498025561,-0.993659498025561,4.11736132177991,16.9526642540892,0.0589877782637491,0.00263321442169376
"comp_mm",24,2.89072598698152,2.19925683222462,2.19925683222462,4.11329789107092,16.9192195406885,0.0591043811208391,0.00263841957323426
"comp_mm",240,-1.49296542183845,-1.07897549132629,-1.07897549132629,4.18234207595051,17.491985240266,0.057169039778174,0.00255202593569769
"comp_mm",29,1.36225356781125,1.0562275395836,1.0562275395836,4.14567641670328,17.1866329520097,0.0581847533948215,0.00259736739154483
"comp_mm",3,-0.909162689752735,-0.642393440169564,-0.642393440169564,4.02011913791895,16.1613578830622,0.0618759888392821,0.00276214414178555
"comp_mm",32,1.58515658202567,1.22291989953038,1.22291989953038,4.21469505225176,17.7636543834755,0.0562947228319328,0.00251299642721748
"comp_mm",34,1.78824245396751,1.37479251276149,1.37479251276149,3.99818158555336,15.985455991058,0.0625568642245417,0.00279253841898354
"comp_mm",4,-2.75388808712056,-2.02192449328135,-2.02192449328135,3.95822461451094,15.6675420989203,0.0638262207107083,0.00284920249252602
"comp_mm",43,-0.115461681729067,-0.0488442924117991,-0.0488442924117991,4.04781407591027,16.3847987931373,0.0610321806587485,0.00272447654460653
"comp_mm",51,-0.0790256035528336,-0.0215964964149296,-0.0215964964149296,4.27037530965972,18.2361052853513,0.0548362703742053,0.00244789110950452
"comp_mm",53,0.0302951333655714,0.0601562411703996,0.0601562411703996,4.09096914810199,16.7360285707223,0.0597513320304305,0.00266729946183842
"comp_mm",55,0.0518676573246324,0.0762887055133235,0.0762887055133235,4.12999616268244,17.0568683037717,0.0586274093339207,0.00261712755266622
