"individuo","cluster","entropia","umap1","umap2","familia","cruzamento","IR_comercial","IR_res_sc","IR_final","P_severo_media","var_pred_medio","P_pareto"
"194",2,0,6.63019711092899,19.0197699747588,3,"516 x 355",-0.237206593469593,-1.28894384906332,-1.0135833004325,0.116507043783214,61.0278381093163,0.038
"2",1,0,-8.47916739865353,-4.16165845770585,1,"293 x 355",0.515819292775716,0.928304329650846,1.26668971850973,0.0480437877668558,56.6261103566288,0.202
"201",3,0,12.439806524076,-7.25493686575639,2,"501 x 355",-0.700919830034671,-0.710680736084563,-1.45594802613088,0.0573354472575569,58.370899980438,0.032
"204",3,0,12.1998258264441,-8.23491447348344,2,"501 x 355",-0.583841833577592,-0.568359374607707,-1.22031729137381,0.0573354472575569,58.8180066219452,0.042
"208",3,0,12.1810193689246,-8.2704989232515,2,"501 x 355",-0.452503663058888,0,-0.840328456458026,NA,59.4312522897289,NA
"209",3,0,12.2150922449012,-7.81535404104936,2,"501 x 355",-0.33318558097984,0.714582989609338,-0.434548419265414,0.0573354472575569,61.7134462011055,0.062
"210",3,0,12.2574182184119,-7.88454215903031,2,"501 x 355",-0.401809925899441,0.214408113515005,-0.721540954675203,0.0573354472575569,59.7392689262968,0.042
"212",3,0,12.385471883573,-8.33111160177934,2,"501 x 355",-0.328898834275849,0.714582989609338,-0.361288632621986,0.0573354472575569,60.6221006243393,0.058
"22",3,0,12.7031913431067,-8.0575033940767,2,"501 x 355",-0.696846264441529,-0.710680736084563,-1.6838032392689,0.0573354472575569,61.5366217029583,0.02
"221",1,0,-9.67780917569211,-3.95720355887162,1,"293 x 355",0.331899529367405,0.928304329650846,0.959204315151175,0.0480437877668558,57.198007571763,0.142
"222",1,0,-8.66303676053098,-5.01897972006547,1,"293 x 355",0.367956428541865,0.928304329650846,0.967862155412801,0.0480437877668558,58.0800602177565,0.182
"223",1,0,-9.24010413571408,-3.73168962378251,1,"293 x 355",0.39898341969681,-0.105575651981699,0.798380059370141,0.0480437877668558,54.3025520453996,0.208
"23",3,0,11.8465247781653,-7.88327758688676,2,"501 x 355",-0.440918366607548,0.714582989609338,-0.46846033195164,0.0573354472575569,59.029526886106,0.042
"232",1,0,-9.31275218411496,-4.97229736227738,1,"293 x 355",0.27764745355522,0.928304329650846,0.837925757919866,0.0480437877668558,57.4506153229555,0.094
"233",1,0,-8.8253158895593,-2.86852090735185,1,"293 x 355",0.121040748050937,0.928304329650846,0.670171493874244,0.0480437877668558,55.9095643764032,0.166
"235",1,0,-9.62625354214719,-4.0056988515352,1,"293 x 355",0.333589606011142,0.928304329650846,0.819801454160666,0.0480437877668558,60.3593153054262,0.15
"236",1,0,-8.94243091031125,-3.03488366980302,1,"293 x 355",0.221362137978658,0.928304329650846,0.648824642729463,0.0480437877668558,60.0765235634236,0.1
"237",1,0,-8.58450835629514,-4.97247569937455,1,"293 x 355",0.434137649070695,0.928304329650846,1.08260510038518,0.0480437877668558,58.2394348713652,0.182
"24",3,0,12.0638275773902,-7.50383537192094,2,"501 x 355",-0.54251564380759,0.714582989609338,-0.697041530814429,0.0573354472575569,58.7548528767932,0.034
